StartTime,ServiceName,AllocatedCPU,HealthyHosts,CPUAverage
1535516700,ServiceName1,1000,1,0.0232843875
1535519880,ServiceName1,1000,1,0.0234682784
1535523060,ServiceName1,1000,1,0.0241403626
1535474220,ServiceName1,1000,1,0.0198134850
1535477400,ServiceName1,1000,1,0.0245525372
1535480580,ServiceName1,1000,1,0.0236013985
1535483760,ServiceName1,1000,1,0.0241090700
1535499660,ServiceName1,1000,1,0.0210887142
1535502840,ServiceName1,1000,1,0.0191504451
1535506020,ServiceName1,1000,1,0.0239670476
1535509200,ServiceName1,1000,1,0.0246241417
1535448540,ServiceName1,1000,1,0.0238493868
1535473980,ServiceName1,1000,1,0.0228932096
1535451720,ServiceName1,1000,1,0.0230592874
1535454900,ServiceName1,1000,1,0.0220936276
1535458080,ServiceName1,1000,1,0.0237209623
1535477160,ServiceName1,1000,1,0.0241162924
1535480340,ServiceName1,1000,1,0.0241505473
1535483520,ServiceName1,1000,1,0.0248643643
1535441040,ServiceName1,1000,1,0.0194074826
1535437860,ServiceName1,1000,1,0.0213150115
1535514180,ServiceName1,1000,1,0.0237759494
1535517360,ServiceName1,1000,1,0.0220973397
1535507820,ServiceName1,1000,1,0.0201807086
1535511000,ServiceName1,1000,1,0.0229226130
1535482140,ServiceName1,1000,1,0.0225914505
1535488500,ServiceName1,1000,1,0.0227672193
1535439660,ServiceName1,1000,1,0.0228297979
1535446020,ServiceName1,1000,1,0.0241467704
1535507580,ServiceName1,1000,1,0.0237976288
1535513940,ServiceName1,1000,1,0.4864187169
1535465100,ServiceName1,1000,1,0.0206928835
1535471460,ServiceName1,1000,1,0.0197446133
1535486280,ServiceName1,1000,1,0.0239389013
1535443800,ServiceName1,1000,1,0.0236753085
1535511720,ServiceName1,1000,1,0.0230212442
1535492640,ServiceName1,1000,1,0.0212229406
1535469240,ServiceName1,1000,1,0.0207701342
1535450160,ServiceName1,1000,1,0.0223955226
1535518080,ServiceName1,1000,1,0.0226854457
1535475600,ServiceName1,1000,1,0.0199457866
1535439420,ServiceName1,1000,1,0.0243214855
1535445780,ServiceName1,1000,1,0.0246946958
1535522100,ServiceName1,1000,1,0.0207610449
1535515740,ServiceName1,1000,1,0.4956971734
1535479620,ServiceName1,1000,1,0.0228073702
1535449920,ServiceName1,1000,1,0.0233243052
1535443560,ServiceName1,1000,1,0.0234751841
1535473260,ServiceName1,1000,1,0.0209095956
1535505060,ServiceName1,1000,1,0.0224861065
1535498700,ServiceName1,1000,1,0.0220675450
1535444520,ServiceName1,1000,1,0.0246614773
1535447700,ServiceName1,1000,1,0.0232281138
1535520840,ServiceName1,1000,1,0.0230944717
1535447580,ServiceName1,1000,1,0.0249504482
1535478360,ServiceName1,1000,1,0.0201086865
1535481540,ServiceName1,1000,1,0.5012525484
1535473020,ServiceName1,1000,1,0.0290845941
1535503800,ServiceName1,1000,1,0.0219065231
1535506980,ServiceName1,1000,1,0.0238908561
1535457120,ServiceName1,1000,1,0.0214593837
1535482560,ServiceName1,1000,1,0.0227103017
1535440080,ServiceName1,1000,1,0.0247119598
1535516400,ServiceName1,1000,1,0.0217034129
1535506860,ServiceName1,1000,1,0.0215038183
1535452680,ServiceName1,1000,1,0.0237716290
1535455860,ServiceName1,1000,1,0.0237276134
1535478120,ServiceName1,1000,1,0.0235704252
1535481300,ServiceName1,1000,1,0.0236371723
1535438820,ServiceName1,1000,1,0.0211816342
1535481180,ServiceName1,1000,1,0.0238289125
1535515140,ServiceName1,1000,1,0.0231772533
1535511960,ServiceName1,1000,1,0.0230698808
1535438700,ServiceName1,1000,1,0.0228066251
1535506620,ServiceName1,1000,1,0.0233254185
1535464140,ServiceName1,1000,1,0.0222679729
1535512920,ServiceName1,1000,1,0.0233735306
1535491680,ServiceName1,1000,1,0.0233978297
1535449200,ServiceName1,1000,1,0.0242398386
1535517120,ServiceName1,1000,1,0.0233746278
1535474640,ServiceName1,1000,1,0.0208756747
1535514900,ServiceName1,1000,1,0.0218088712
1535489460,ServiceName1,1000,1,0.0240468093
1535472420,ServiceName1,1000,1,0.0225489690
1535446980,ServiceName1,1000,1,0.0212241175
1535487240,ServiceName1,1000,1,0.0248952022
1535438460,ServiceName1,1000,1,0.0242820098
1535444760,ServiceName1,1000,1,0.0243909863
1535512680,ServiceName1,1000,1,0.0236295594
1535470200,ServiceName1,1000,1,0.0238860764
1535514780,ServiceName1,1000,1,0.0216761099
1535448960,ServiceName1,1000,1,0.0235565110
1535472300,ServiceName1,1000,1,0.0242225818
1535497740,ServiceName1,1000,1,0.5066163349
1535482800,ServiceName1,1000,1,0.0241827529
1535446740,ServiceName1,1000,1,0.0250180585
1535508240,ServiceName1,1000,1,0.0222923094
1535449800,ServiceName1,1000,1,0.0221451971
1535475240,ServiceName1,1000,1,0.0216785638
1535452980,ServiceName1,1000,1,0.0210996836
1535456160,ServiceName1,1000,1,0.0241250408
1535478420,ServiceName1,1000,1,0.0227407265
1535481600,ServiceName1,1000,1,0.0212984068
1535442300,ServiceName1,1000,1,0.0237747212
1535518620,ServiceName1,1000,1,0.0230748785
1535505900,ServiceName1,1000,1,0.0243160852
1535479320,ServiceName1,1000,1,0.0240419629
